Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
24970,Either/Or: A Fragment of Life,Søren Kierkegaard,"Kierkegaard, Søren","Victor Eremita, Alastair Hannay","=""0140445773""","=""9780140445770""",5,4.17,Penguin Classics,Paperback,640,1992,1843,,2011/03/07,,,read,,,,1,,,0,,,,,
14743,The God Delusion,Richard Dawkins,"Dawkins, Richard",,"=""0618680004""","=""9780618680009""",5,3.89,Houghton Mifflin Co. (Boston/NY),Hardcover,374,2006,2006,,2011/03/07,,,read,,,,1,,,0,,,,,
4588176,Adela,Garabet Ibrăileanu,"Ibrăileanu, Garabet",,"=""9735650061""","=""9789735650063""",4,3.35,Litera,Hardcover,136,2009,1933,,2011/03/07,,,read,,,,1,,,0,,,,,
12187,"Ada, or Ardor: A Family Chronicle",Vladimir Nabokov,"Nabokov, Vladimir",,"=""0679725229""","=""9780679725220""",5,4.14,Vintage,Paperback,606,1990,1969,,2011/03/07,,,read,,,,1,,,0,,,,,
33297,The Naked Ape: A Zoologist's Study of the Human Animal,Desmond Morris,"Morris, Desmond",,"=""0385334303""","=""9780385334303""",5,3.95,Delta,Paperback,256,1999,1967,,2011/03/07,,,read,,,,1,,,0,,,,,
243705,The Collector,John Fowles,"Fowles, John",,"=""""","=""""",5,3.99,Vintage,Paperback,283,1998,1963,,2011/03/07,,,read,,,,1,,,0,,,,,
16286,The Magus,John Fowles,"Fowles, John",,"=""0316296198""","=""9780316296199""",5,4.06,Back Bay Books,Paperback,656,2001,1965,,2011/03/07,,,read,,,,1,,,0,,,,,
152057,All Men Are Mortal,Simone de Beauvoir,"Beauvoir, Simone de",,"=""0393308456""","=""9780393308457""",4,4.12,W. W. Norton  Company,Paperback,352,1992,1946,,2011/03/07,,,read,,,,1,,,0,,,,,
112,Children of Dune (Dune Chronicles #3),Frank Herbert,"Herbert, Frank",,"=""""","=""""",5,3.95,Ace Books,Mass Market Paperback,408,1987,1976,,2011/03/07,,,read,,,,1,,,0,,,,,
285092,High Fidelity,Nick Hornby,"Hornby, Nick",,"=""1573225517""","=""9781573225519""",3,3.93,Riverhead Books,Paperback,340,1996,1995,,2011/03/07,,,read,,,,1,,,0,,,,,
69483,Las edades de Lulú,Almudena Grandes,"Grandes, Almudena",,"=""8472237486""","=""9788472237483""",4,3.24,TusQuets,Paperback,264,1994,1989,,2011/03/07,,,read,,,,1,,,0,,,,,
1860831,Slaap!,Annelies Verbeke,"Verbeke, Annelies",,"=""9044504320""","=""9789044504323""",3,3.15,De Geus,Hardcover,160,2003,2003,,2011/03/07,,,read,,,,1,,,0,,,,,
11038,"Henry and June: From ""A Journal of Love"": The Unexpurgated Diary of Anaïs Nin, 1931-1932",Anaïs Nin,"Nin, Anaïs",,"=""015640057X""","=""9780156400572""",4,3.89,Mariner Books,Paperback,304,1990,1986,,2011/03/07,,,read,,,,1,,,0,,,,,
1010504,Un uomo finito,Giovanni Papini,"Papini, Giovanni",Ștefan Augustin Doinaș,"=""8879282395""","=""9788879282390""",5,4.12,Ponte alle Grazie,Paperback,247,1994,1913,,2011/03/07,,,read,,,,1,,,0,,,,,
1067549,Arta conversației,Ileana Vulpescu,"Vulpescu, Ileana",,"=""""","=""9786069208625""",2,4.15,Arta Grafica,Paperback,464,1998,1992,,2011/03/07,,,read,,,,1,,,0,,,,,
75518,Hygiène de l'assassin,Amélie Nothomb,"Nothomb, Amélie",,"=""225311118X""","=""9782253111184""",4,3.76,Le Livre de Poche,Mass Market Paperback,221,2005,1992,,2011/03/07,,,read,,,,1,,,0,,,,,
